blueWins,blueKillDiff,blueDeathDiff,blueAssistsDiff,blueWardPlacedDiff,blueWardDestroyedDiff,blueAvgLvlDiff,blueTowerDestroyedDiff,blueCSPerMinDiff,dragTeam,heraldTeam,fbTeam
1,4,-4,6,-2,1,0.2,0,1.3,-1,-1,1
1,2,-2,4,0,3,0.4,0,0.7,1,0,-1
1,-5,5,-12,2,-3,0.2,0,2,1,-1,1
0,-5,5,-3,1,0,-0.6,0,-0.4,1,1,-1
1,3,-3,1,6,-2,0.2,0,-3.8,0,0,-1
0,-8,8,-4,-14,0,-0.8,0,-2.4,0,0,1
1,6,-6,5,16,0,0.6,0,-0.8,1,0,1
0,-2,2,-2,-18,0,-0.4,0,-0.2,1,1,1
1,-3,3,-4,2,-2,-0.4,0,-0.4,0,0,1
1,2,-2,8,-88,0,-0.2,0,0.7,1,0,1
0,-4,4,-3,-2,0,-0.2,0,-7,-1,0,-1
0,0,0,1,14,2,0.4,0,-1.6,-1,1,1
0,0,0,2,0,2,0,0,3.1,1,-1,-1
0,-6,6,-6,-28,14,-1.2,0,-4.2,-1,0,-1
1,1,-1,2,-5,0,-0.2,0,-1.7,1,-1,-1
1,3,-3,5,-1,3,0.2,0,-2.4,-1,0,1
0,-7,7,-9,-1,-4,-0.6,0,-5.2,-1,0,-1
1,2,-2,2,24,2,0.2,0,-1,1,0,1
1,-7,7,-6,27,-3,-1,0,-3.6,1,0,-1
1,2,-2,1,-21,2,0.4,0,1,1,0,-1
0,-1,1,-1,23,-1,-0.4,0,0.1,0,-1,-1
1,2,-2,1,-17,2,0,0,1.8,0,0,-1
1,6,-6,8,-18,2,0.6,0,0.9,-1,0,-1
1,3,-3,8,-23,3,0.2,0,1.2,1,0,1
1,0,0,3,3,1,0,0,-1.2,-1,0,1
1,-3,3,-8,20,-3,-0.8,0,2.1,1,0,1
0,-2,2,-6,-49,2,-0.6,0,-2.5,-1,0,-1
1,-3,3,-11,-4,0,0.2,0,8.5,1,0,-1
1,2,-2,7,8,-2,-0.2,0,-2.6,1,-1,1
1,8,-8,8,0,-1,0.6,0,3.6,-1,1,1
1,0,0,-1,-21,-1,0.4,0,-0.3,-1,0,-1
0,-1,1,-2,12,2,0,0,0.3,1,-1,-1
0,-5,5,-10,-6,0,0,0,-0.2,0,0,1
0,-11,11,-10,77,0,-1.2,0,-1.8,0,0,-1
1,1,-1,3,-2,2,0,0,6.1,-1,-1,1
0,-2,2,-1,2,-1,-0.4,0,-4.7,0,0,1
1,5,-5,10,-14,1,-0.2,0,-0.7,-1,-1,-1
1,8,-8,12,4,-1,0.4,0,-1,0,0,1
1,-7,7,-10,-21,2,-0.6,1,1.6,-1,1,-1
0,-5,5,-5,-1,-2,-0.6,0,-5,1,1,-1
1,4,-4,11,0,-1,0,0,0.7,0,0,1
0,1,-1,1,-1,3,-0.2,0,2.3,0,0,1
0,2,-2,2,-25,-2,-0.2,0,0.4,1,-1,1
0,0,0,-3,4,-2,-0.2,0,3.5,0,0,-1
0,2,-2,6,57,1,0.4,0,-5.4,1,1,-1
0,-1,1,-1,-20,-4,-0.2,0,0.8,-1,1,-1
0,-8,8,-13,-3,0,-0.2,0,-0.3,-1,-1,-1
0,-4,4,-2,-1,0,0,0,5.2,-1,0,1
1,8,-8,4,-24,8,1.2,0,1.4,1,1,-1
1,5,-5,7,74,2,0.6,1,0.3,0,0,-1
0,-7,7,-6,2,2,-1.2,0,-4.6,-1,-1,1
1,0,0,0,-3,1,0,0,-1.9,-1,0,-1
1,1,-1,2,-23,10,0.2,1,2.9,0,0,1
1,4,-4,6,4,1,0.4,0,-0.4,1,-1,1
1,5,-5,7,0,-2,0.2,0,0.1,1,1,1
1,-1,1,-3,-12,0,0,0,-0.1,1,0,-1
0,2,-2,5,39,0,0,0,1.1,1,-1,-1
1,0,0,1,3,-2,0,0,1.8,-1,0,1
0,-4,4,-2,19,-3,-0.2,0,-4.1,-1,0,-1
0,0,0,-3,-23,1,-0.2,0,-0.2,-1,0,1
0,-1,1,-3,4,2,-0.6,0,1.3,-1,0,1
1,4,-4,3,-38,0,0.6,0,7.4,1,-1,1
0,-2,2,-4,0,-1,-0.4,0,-0.8,-1,-1,1
1,1,-1,0,-6,2,0.2,0,-0.2,0,1,-1
0,0,0,-2,-6,-1,0,0,-3.6,-1,-1,1
1,0,0,0,1,-2,-0.4,0,1.3,1,-1,1
0,-5,5,-4,2,-1,-0.6,0,-1.4,1,0,-1
1,0,0,-1,-39,2,0.4,0,4.1,-1,0,-1
1,4,-4,4,-27,-1,0.2,0,2.4,0,0,1
0,-6,6,-7,1,-1,-0.8,-1,-2,0,-1,-1
1,1,-1,-2,-2,2,0.4,0,2.8,1,0,1
1,-4,4,-7,2,-2,0,0,-0.8,-1,1,-1
0,-1,1,-3,-3,2,-0.6,0,-1.1,-1,1,-1
0,-2,2,-3,50,-2,-0.6,0,-3.2,-1,0,1
1,6,-6,3,2,-2,1,0,2.1,1,0,1
1,8,-8,10,-68,3,0.6,0,-0.1,-1,0,-1
0,-1,1,-2,-24,1,-0.4,0,-6.3,0,0,1
0,-4,4,-2,-4,0,-0.8,0,-4.9,-1,0,-1
0,0,0,6,-2,2,0.2,0,2.4,-1,0,-1
1,2,-2,9,2,2,0,0,-3.7,1,1,-1
0,1,-1,1,0,1,0.4,0,5.5,-1,1,1
0,-8,8,-15,1,0,-1,-1,2.1,-1,0,1
0,0,0,4,8,-1,-0.2,0,0.7,1,0,1
0,-4,4,-6,-3,-1,-0.8,0,-3.6,-1,-1,-1
1,11,-11,11,12,1,1,0,1.6,0,0,1
0,-5,5,-8,-41,-2,-0.6,0,0.4,-1,0,-1
0,-5,5,-10,-2,-2,-0.6,0,-1.5,1,0,-1
1,0,0,2,3,2,-0.4,0,1.6,-1,1,1
0,-3,3,-2,1,0,-0.4,0,2.4,-1,0,-1
1,5,-5,1,5,1,0.4,0,2.8,1,0,1
0,-2,2,-7,-23,-1,-0.2,0,0.6,-1,0,-1
1,3,-3,5,28,3,0.2,0,0.7,1,0,1
0,3,-3,6,0,2,-0.2,0,-3.8,-1,-1,-1
1,0,0,3,-14,0,0.2,0,3.8,0,1,-1
0,-4,4,-1,-5,0,0,0,-0.4,1,0,-1
0,1,-1,-1,-1,0,0.4,0,5.2,0,0,-1
0,-9,9,-3,-2,1,-1.2,0,-7.1,1,0,-1
0,-2,2,-4,-2,-1,-0.4,0,-4.1,-1,0,-1
0,-13,13,-17,53,-4,-1.2,-1,-6,1,0,-1
1,-5,5,-8,8,-5,-0.4,0,-1.2,0,0,-1
1,0,0,4,-2,2,-0.2,0,-1.2,1,0,-1
0,2,-2,1,-3,2,0.4,0,3.3,0,1,1
0,0,0,0,-2,3,0,0,3.5,-1,1,1
1,3,-3,4,-1,-1,-0.2,0,-1.8,-1,0,-1
1,4,-4,8,20,2,0,0,2,1,0,1
0,-5,5,-2,-70,-2,-0.4,0,1.3,-1,0,-1
1,0,0,-2,18,-2,0,0,2.7,-1,0,-1
1,9,-9,6,1,2,1,0,5.2,1,0,1
0,-2,2,-8,9,-1,0,0,-1.4,-1,1,-1
0,1,-1,4,107,-1,0.2,0,-0.2,0,1,1
1,-4,4,-4,1,-7,-0.8,0,-2.9,0,-1,1
1,-1,1,2,6,4,0.2,0,0.5,-1,0,-1
1,7,-7,4,-2,3,0.4,1,0.2,1,1,1
0,-5,5,-5,21,1,-0.4,0,-1,0,0,-1
1,4,-4,1,7,0,0.2,0,4.7,0,0,1
0,3,-3,6,13,9,-0.2,0,-4.1,1,0,1
0,5,-5,10,-20,2,0.4,0,-1.2,1,0,-1
0,-3,3,-6,0,-2,0,0,2.1,0,1,-1
0,-3,3,-6,16,0,0,0,-1.8,-1,0,-1
1,8,-8,6,-4,2,0.4,0,4,-1,0,-1
1,2,-2,-2,4,-2,0.4,0,3.4,1,0,-1
1,6,-6,9,60,4,0.4,0,4.7,0,-1,1
0,-1,1,-1,0,-2,-0.4,0,-2.6,1,0,-1
0,3,-3,6,11,0,-0.2,0,3.2,0,0,1
0,0,0,-3,0,3,0.4,0,3.4,-1,1,-1
0,6,-6,3,2,0,0,0,-0.2,0,0,1
0,-6,6,-6,23,-1,-0.4,0,-5.3,-1,0,-1
0,-2,2,-4,-4,0,-0.2,0,-2.3,-1,0,-1
1,1,-1,5,1,-3,-0.2,0,-0.5,1,0,-1
1,2,-2,2,11,1,0.6,0,2,0,0,1
0,-2,2,-7,27,-2,0,0,-2.4,1,0,-1
0,-2,2,6,13,-3,-0.4,0,-2.4,1,0,-1
0,-4,4,-7,4,-3,-0.6,0,-6.8,-1,0,-1
1,5,-5,7,17,1,0.6,0,1.7,1,1,-1
1,4,-4,1,-3,1,0.2,0,-0.3,1,1,-1
0,-5,5,-8,-7,-1,-0.6,0,-4.5,-1,0,-1
1,-1,1,1,-2,0,0.4,0,0.3,1,0,-1
1,1,-1,-3,-4,2,0.6,0,5,1,0,1
0,0,0,-1,-19,0,-0.2,0,2.7,0,0,1
1,10,-10,9,11,-2,1.4,0,6.3,-1,0,1
1,2,-2,1,2,-1,0.4,0,0.8,1,0,1
0,-7,7,-5,20,1,-0.6,0,1.5,1,0,1
1,-1,1,-1,15,3,0.4,0,0.6,0,1,-1
0,-2,2,-1,0,-3,-0.4,0,-0.6,-1,0,1
1,-2,2,-10,-22,1,-0.2,0,0.7,1,-1,-1
1,4,-4,3,9,4,0.4,0,0.9,-1,1,1
1,4,-4,7,0,0,0.4,0,1.3,-1,0,1
1,10,-10,17,-48,3,0.8,0,1.5,1,0,-1
1,5,-5,3,-2,-3,0.8,0,3.9,0,0,1
1,-5,5,-5,-1,0,-0.4,0,-1.3,-1,0,-1
1,6,-6,8,7,-5,0.6,0,2.3,1,0,1
0,-3,3,-6,4,-2,-0.2,0,-0.4,-1,-1,-1
0,-2,2,-4,-2,-1,0,0,3.5,-1,1,-1
1,4,-4,5,5,1,0,0,2.2,1,0,-1
1,2,-2,4,42,1,-0.2,0,2,-1,0,-1
0,-9,9,-9,-2,-1,-0.6,0,-6.3,-1,0,1
1,5,-5,1,-18,-1,1.2,0,2.8,1,1,-1
1,4,-4,6,-2,3,0.6,0,4.3,-1,0,-1
0,-8,8,-14,6,1,-0.4,0,-3.4,1,0,-1
0,3,-3,4,3,-1,0,1,-2.1,-1,1,1
0,-6,6,-7,-24,0,-0.8,0,-0.7,-1,-1,-1
0,-5,5,-8,-14,0,-0.6,0,-4,-1,1,-1
1,-1,1,1,2,1,-0.2,0,0.5,1,0,-1
0,-2,2,-1,1,1,-0.4,0,1.5,-1,0,-1
1,-4,4,-4,4,-1,-0.4,0,0.3,-1,0,1
0,1,-1,-5,21,-5,0.2,0,-2.1,0,0,1
1,4,-4,0,22,-15,0.6,0,0.5,1,0,1
1,2,-2,1,-1,2,0.6,0,3.2,0,0,1
0,-5,5,-4,0,0,-0.4,0,-1.6,0,0,1
1,-2,2,-4,5,-4,0.4,0,2.2,1,1,-1
0,-5,5,-8,-8,2,-0.6,0,-2.9,0,-1,-1
0,-3,3,-7,27,-1,-0.2,0,1.8,-1,0,-1
1,6,-6,7,22,4,0.4,0,2.5,0,0,1
0,3,-3,2,-3,-1,0,0,-2.6,1,-1,1
1,6,-6,8,0,-3,0,0,-0.7,1,0,1
0,-4,4,-4,-1,4,-0.2,0,-1.5,0,0,1
1,3,-3,5,-30,1,0.4,0,3.4,1,0,1
1,5,-5,7,22,-1,0.4,0,1.4,1,-1,-1
0,-9,9,-13,2,-4,-0.4,0,-2.9,-1,1,-1
1,5,-5,9,20,1,0.4,0,-1.2,1,1,1
0,-3,3,-2,0,-1,-0.2,0,-1.7,-1,1,-1
0,2,-2,2,1,2,-0.2,0,0.3,1,-1,-1
0,-5,5,-4,-5,5,-0.8,-1,-10.1,0,0,-1
0,-6,6,-1,-125,0,-0.8,0,0.6,-1,0,-1
0,-1,1,2,-4,1,-0.2,0,-2.5,-1,0,1
1,2,-2,0,-26,1,-0.2,0,0.2,1,1,1
0,-3,3,-6,-27,2,0,0,0.7,1,0,1
0,0,0,1,4,0,0,0,-2.4,0,0,-1
0,-1,1,-8,3,-1,0.2,0,6.3,1,0,1
0,-3,3,-8,-7,2,0,0,0.9,0,0,-1
0,-2,2,-3,2,2,0.4,0,1.7,0,1,-1
0,-1,1,0,0,4,-0.2,0,-4.2,0,0,-1
0,1,-1,-2,-13,-1,-0.2,0,2.5,1,0,-1
0,-1,1,5,-2,0,0,0,0.8,-1,0,1
1,-1,1,-1,2,-1,-0.4,0,1.6,1,0,1
0,-2,2,-1,-6,-1,-0.4,0,-0.5,-1,0,1
1,6,-6,8,8,1,0.6,0,-0.7,-1,0,1
1,2,-2,7,3,1,-0.4,0,-1.4,1,0,1
0,3,-3,3,14,-2,0.4,0,-3.2,-1,-1,1
0,-6,6,-5,0,-2,-0.8,0,-6,1,0,-1
1,-2,2,-4,-2,-1,0.2,0,2.3,1,1,1
0,3,-3,2,-3,2,0.6,0,3.8,-1,1,1
0,1,-1,3,2,3,0.6,0,5.3,1,0,1
1,3,-3,3,2,-2,0.2,0,4.1,0,0,-1
1,3,-3,-1,-1,-1,0.4,0,5.3,1,0,1
1,1,-1,4,2,2,-0.2,0,6.4,-1,0,1
0,0,0,0,0,3,-0.4,0,0,-1,0,1
0,-7,7,-5,1,-1,-1,-1,-7.5,1,0,-1
1,6,-6,0,1,0,0.8,0,2.3,0,0,-1
0,-2,2,-4,1,0,0,-1,-1.9,1,-1,-1
1,-1,1,-7,-26,0,0,0,2,1,0,-1
1,-5,5,-1,-3,0,-0.2,0,-1.9,0,0,-1
1,-3,3,-9,3,-3,0,0,-3.9,0,1,-1
0,-4,4,-8,9,-1,-0.6,0,1.4,-1,0,1
1,-3,3,-4,-4,3,0,0,2.1,1,0,-1
1,-1,1,-8,39,-1,0,0,-0.6,1,1,1
1,9,-9,8,4,3,1,0,0,1,0,1
1,-3,3,-2,-5,1,0.2,0,-3.5,-1,0,-1
1,4,-4,7,1,2,0.2,0,1.7,1,0,1
1,4,-4,4,-8,4,0.2,0,5.5,1,1,1
1,10,-10,4,-15,2,1,0,10.4,1,-1,1
0,-4,4,-7,7,-3,-0.6,0,-3.9,0,-1,-1
1,0,0,-1,-3,2,0.2,0,5.4,1,1,-1
0,-5,5,-3,4,1,0.4,0,9.6,-1,1,1
0,-5,5,-2,26,-13,-0.4,0,-6.2,-1,0,-1
0,-3,3,-8,-1,2,0.2,0,2.1,-1,0,-1
1,5,-5,10,35,-2,0.2,0,-3.9,1,0,1
0,1,-1,2,0,3,0.2,0,0.7,0,0,1
0,-1,1,0,-4,4,-0.4,0,0.8,1,0,1
1,-4,4,-3,-5,1,-0.2,0,0.5,-1,0,-1
1,8,-8,4,-5,0,0,1,0.5,-1,1,1
0,5,-5,8,-12,-2,0.2,0,-2.5,1,0,1
1,1,-1,-6,1,0,0,0,5.6,1,1,-1
0,-9,9,-16,3,1,-0.6,0,2.3,-1,0,1
1,-3,3,-3,3,-2,-0.4,0,-5.2,1,1,-1
0,-3,3,-3,-37,-1,0.2,0,5,-1,0,-1
0,-3,3,-1,-1,3,0,0,-0.5,-1,1,-1
0,2,-2,6,-34,9,-0.4,0,-3.4,-1,0,1
1,2,-2,5,4,3,0.8,0,0.8,1,-1,-1
1,-4,4,1,13,3,-0.6,0,-1.1,0,-1,-1
1,-3,3,-1,1,-2,0,0,-0.3,-1,-1,-1
0,-4,4,0,-1,0,-0.4,0,-6.6,0,0,1
0,-4,4,1,69,1,-0.4,0,-2.5,-1,0,1
0,-1,1,-4,-2,-1,0,0,3.3,0,1,-1
1,3,-3,2,6,3,0.4,0,1.1,1,1,1
1,3,-3,9,7,0,0.4,0,2.6,-1,0,-1
0,-5,5,-6,4,1,-0.4,0,-4,-1,-1,1
0,0,0,-1,-22,-2,0,0,2.4,-1,0,-1
1,6,-6,2,23,0,0.6,0,3.7,0,0,1
0,-6,6,-4,-2,2,-0.4,0,-3.4,-1,0,-1
1,4,-4,8,-5,1,0.4,0,-0.5,0,-1,-1
0,-3,3,-2,4,-5,-0.4,0,3,0,0,1
0,-3,3,-4,-26,-1,-0.4,0,-0.2,-1,-1,1
1,11,-11,11,1,3,1.2,0,-0.5,0,0,1
0,-3,3,-2,3,0,0,0,1.7,-1,-1,1
0,-3,3,-6,0,-1,-0.4,0,0.2,-1,0,1
0,-1,1,-1,20,-1,-0.2,0,-2.7,-1,0,-1
1,1,-1,2,2,0,0,0,-1,0,0,1
1,3,-3,2,-2,3,0,0,1.5,1,1,1
0,0,0,-1,5,-2,-0.4,0,1,-1,1,-1
1,2,-2,0,3,5,0,0,2.6,0,0,1
0,-4,4,-3,0,0,0,0,0.5,-1,0,-1
1,-2,2,-2,2,1,0,0,-2.8,1,0,-1
0,-9,9,-6,-3,0,-0.6,0,1.5,-1,-1,1
0,-10,10,-9,0,-2,-1,0,-5.1,-1,0,-1
1,-1,1,-3,2,-1,0.2,0,6.2,1,0,-1
1,2,-2,-1,-36,-2,0,0,4.1,-1,1,1
0,-6,6,-8,-2,3,-0.6,0,-5.1,-1,-1,-1
0,5,-5,9,-1,5,0.8,0,-2.2,1,-1,1
0,-5,5,-9,2,0,-0.6,0,-3.5,-1,0,-1
0,-4,4,-8,-1,-1,0,0,-1.2,1,0,-1
1,-3,3,-2,0,4,0,0,-1.2,1,1,-1
1,0,0,3,-1,-4,0.2,0,-0.2,1,0,-1
1,-3,3,3,3,-2,0,0,-3.8,1,0,-1
0,0,0,-3,4,0,0,0,0.8,0,1,-1
1,2,-2,0,-1,0,1.2,2,8.2,0,1,1
1,5,-5,7,0,1,0.6,0,-0.8,1,0,1
0,-3,3,-2,5,-1,-0.4,0,0.7,0,0,1
1,3,-3,5,-2,5,0.4,0,0.4,-1,0,-1
1,3,-3,6,-2,-1,0,0,-0.6,1,0,1
1,1,-1,-1,10,-2,0,0,0.5,-1,0,1
1,0,0,1,62,-2,0.2,0,2.1,-1,1,1
1,10,-10,11,2,0,0.6,0,4.5,1,0,1
0,-7,7,-8,-19,0,-0.8,-1,-0.8,1,1,-1
1,6,-6,15,61,1,0.6,0,-0.4,1,-1,1
1,-4,4,-2,-27,2,-0.8,0,-6.6,0,0,-1
0,-3,3,-1,-6,3,-0.4,0,-0.1,-1,0,1
1,4,-4,9,-29,-2,0.4,0,0.7,0,0,1
0,-5,5,-9,1,4,-0.2,0,-1,-1,-1,-1
1,3,-3,1,-31,10,0.2,0,1.3,1,0,1
1,1,-1,-5,-37,1,-0.2,0,-1.8,0,0,-1
1,1,-1,4,-35,-1,-0.4,0,-0.2,-1,1,1
1,0,0,0,4,2,0.6,-1,1.1,0,-1,-1
1,1,-1,-1,6,2,0.4,0,-1.1,1,0,-1
1,7,-7,20,-2,2,0.4,0,2.5,1,0,1
0,-7,7,-3,-131,0,-0.4,0,-3.2,0,0,-1
1,0,0,-2,29,-2,0,0,0,1,-1,1
0,1,-1,-3,-4,0,0,0,-5.1,1,0,-1
0,-4,4,-3,24,1,-0.2,0,-4.5,-1,-1,-1
1,1,-1,3,22,3,0.2,0,1.7,-1,1,1
1,1,-1,-1,-2,2,0.6,0,-1.1,1,0,-1
1,-4,4,-4,-5,-3,-0.6,0,-1.8,-1,0,1
0,-1,1,-3,24,-2,-0.4,0,0.2,-1,0,1
0,0,0,-3,-28,14,0.4,0,3,-1,1,1
0,-2,2,-9,-20,-2,-0.6,0,2.1,-1,0,1
1,7,-7,9,5,3,0.8,0,5.2,1,0,-1
1,6,-6,12,2,4,0.2,0,0.2,1,0,1
0,-6,6,-6,-27,10,-0.4,0,-5.2,1,0,-1
1,2,-2,2,22,-4,-0.2,0,-1.6,1,1,1
0,-3,3,-2,4,-2,-0.6,0,-1.8,1,0,1
1,5,-5,6,-39,0,0.2,0,-1.4,1,0,1
0,-2,2,1,18,2,-0.4,0,-6.1,0,0,-1
1,3,-3,4,23,-1,0.4,0,3.1,1,1,1
1,6,-6,4,19,-1,0,0,0.4,-1,0,1
1,1,-1,4,9,0,0.4,1,0.5,0,1,1
1,4,-4,1,3,0,0.2,0,3.7,0,0,-1
0,-4,4,-11,4,-1,-0.2,0,-1.6,-1,0,-1
0,-2,2,-9,-2,1,0.4,0,1.7,1,0,1
1,1,-1,-1,-21,0,0,0,-2.3,0,1,-1
1,7,-7,6,0,4,1,0,3.6,0,0,-1
0,-1,1,-2,18,1,0.8,0,1.9,0,1,-1
1,-4,4,-6,-5,1,-0.2,0,0.2,1,-1,1
1,7,-7,10,0,1,0.4,0,-2.6,1,0,-1
0,-5,5,-5,-1,0,-0.4,0,-3.5,0,-1,-1
0,-6,6,-9,-4,4,-0.6,0,-2.8,-1,-1,1
0,-7,7,-11,-15,-1,-0.8,0,-1.2,-1,0,-1
